genre,id
Drama,tt0468569
Drama,tt0469494
Crime,tt0477348
Drama,tt0477348
Thriller,tt0477348
Drama,tt0482571
Mystery,tt0482571
Thriller,tt0482571
Adventure,tt0758758
Biography,tt0758758
Drama,tt0758758
Action,tt0796366
Adventure,tt0796366
SciFi,tt0796366
Action,tt0848228
Fantasy,tt0848228
Adventure,tt0892769
Animation,tt0892769
Comedy,tt0892769
Adventure,tt0910970
Animation,tt0910970
Family,tt0910970
Drama,tt0947798
Mystery,tt0947798
Thriller,tt0947798
Comedy,tt0978762
Documentary,tt0978762
Fantasy,tt0978762
Drama,tt0986264
Biography,tt0993846
Comedy,tt0993846
Crime,tt0993846
Drama,tt1010048
Romance,tt1010048
Thriller,tt1010048
Drama,tt1028532
Family,tt1028532
Adventure,tt1049413
Animation,tt1049413
Drama,tt1049413
Drama,tt1130884
Mystery,tt1130884
Thriller,tt1130884
Adventure,tt1170358
Fantasy,tt1170358
Comedy,tt1187043
Drama,tt1187043
Romance,tt1187043
Adventure,tt1201607
Fantasy,tt1201607
Mystery,tt1201607
Drama,tt1205489
Action,tt1220719
Biography,tt1220719
Drama,tt1220719
Drama,tt1255953
Mystery,tt1255953
War,tt1255953
Drama,tt1291584
Sport,tt1291584
Drama,tt1305806
Mystery,tt1305806
Thriller,tt1305806
Action,tt1345836
Crime,tt1345836
Thriller,tt1345836
Action,tt1375666
Adventure,tt1375666
Mystery,tt1375666
Crime,tt1392214
Drama,tt1392214
Thriller,tt1392214
Drama,tt1454029
Drama,tt1454468
SciFi,tt1454468
Thriller,tt1454468
Adventure,tt1490017
Animation,tt1490017
Comedy,tt1490017
Biography,tt1504320
Drama,tt1504320
History,tt1504320
Action,tt1555149
Crime,tt1555149
Drama,tt1555149
Biography,tt1675434
Comedy,tt1675434
Drama,tt1675434
Drama,tt1798709
Romance,tt1798709
SciFi,tt1798709
Drama,tt1832382
Adventure,tt1853728
Drama,tt1853728
Western,tt1853728
Action,tt1979320
Biography,tt1979320
Drama,tt1979320
Biography,tt2024544
Drama,tt2024544
History,tt2024544
Drama,tt2106476
